gene_symbol
A1CF
A2M
AAK1
AATF
ABCA1
ABCA12
ABCA2
ABCA4
ABCA7
ABCA8
ABCB1
ABCB11
ABCB6
ABCC1
ABCC2
ABCC4
ABCC8
ABCC9
ABCD1
ABCG1
ABCG2
ABCG4
ABCG5
ABI3
ABL1
ABLIM2
ABO
ACACA
ACADVL
ACAP1
ACAT1
ACCS
ACE
ACE2
ACHE
ACKR1
ACKR2
ACKR3
ACMSD
ACO1
ACO2
ACOT7
ACOT8
ACP3
ACSL6
ACSS2
ACTB
ACTBL2
ACTG1
ACTG2
ACTR2
ACVRL1
ADA
ADAM10
ADAM12
ADAM17
ADAM19
ADAM30
ADAM9
ADAMTS1
ADAMTS10
ADAMTS13
ADAMTS2
ADAMTS3
ADAMTS4
ADAP1
ADARB1
ADCY10
ADCY2
ADCYAP1
ADD3
ADGRF2
ADH1B
ADH6
ADI1
ADIPOQ
ADIPOR1
ADM
ADNP
ADORA1
ADORA2A
ADRA1A
ADRA2A
ADRA2B
ADRB1
ADRB2
ADRM1
AEBP1
AFF1
AGAP2
AGBL1
AGER
AGFG2
AGO1
AGPS
AGRN
AGT
AGTR1
AGTR2
AHCYL1
AHI1
AHNAK
AHR
AHSA1
AHSG
AICDA
AIF1
AIM2
AIMP1
AIMP2
AIRE
AKAP5
AKAP9
AKR1A1
AKR1C2
AKR1C4
AKT1
AKT2
ALAD
ALAS1
ALB
ALDH1A1
ALDH1A2
ALDH1L1
ALDH2
ALDH7A1
ALOX12
ALOX15
ALOX5
ALOX5AP
ALPI
ALPK2
ALPP
ALS2
AMD1
AMFR
AMIGO1
AMIGO2
AMOTL1
AMPH
ANG
ANGPT1
ANGPT2
ANGPT4
ANGPTL2
ANK1
ANK3
ANKK1
ANKRD31
ANKRD55
ANKS1B
ANO3
ANO4
ANP32A
ANPEP
ANTXR1
ANXA1
ANXA5
ANXA6
AOC2
AOC3
AP2A2
AP4M1
APBA1
APBA2
APBA3
APBB1
APBB2
APBB3
APC
APC2
APCDD1
APCS
APEH
APEX1
APH1A
APH1B
APLN
APLP1
APLP2
APMAP
APOA1
APOA2
APOA4
APOA5
APOB
APOC1
APOC2
APOC3
APOC4
APOD
APOE
APOF
APOM
APP
APPL1
APRT
AQP1
AQP4
AQP9
AR
ARAP2
ARAP3
ARC
ARG1
ARG2
ARHGAP20
ARHGAP24
ARHGEF15
ARHGEF2
ARHGEF5
ARHGEF7
ARID4B
ARL17B
ARMCX5-GPRASP2
ARMS2
ARNTL
ARNTL2
ARPP19
ARR3
ARRB1
ARRB2
ARSA
ARTN
ARVCF
ASAH1
ASCC1
ASCC2
ASIC2
ASIP
ASL
ASPA
ASPM
ASRGL1
ASTN2
ATAT1
ATCAY
ATF2
ATF4
ATF6
ATF7IP
ATG12
ATG4B
ATG4C
ATG5
ATIC
ATM
ATN1
ATP12A
ATP2B4
ATP4A
ATP5F1A
ATP5F1B
ATP5G1
ATP5G2
ATP5PD
ATP5PF
ATP5PO
ATP6V0D1
ATP6V0E1
ATP6V1B2
ATP6V1E1
ATP6V1H
ATP7A
ATP7B
ATP9B
ATRNL1
ATXN1
ATXN2
ATXN3
ATXN7L1
AVP
AVPR2
AZI2
AZIN2
AZU1
B3GALT4
B3GAT1
BACE1
BACE2
BACH1
BAG1
BAG2
BAG3
BAG5
BAK1
BAP1
BARHL1
BARHL2
BAX
BBC3
BCAM
BCAN
BCAP31
BCAR1
BCAS3
BCHE
BCKDHB
BCKDK
BCL2
BCL2A1
BCL2L11
BCL2L2
BCL3
BCL6
BCR
BCS1L
BDKRB2
BDNF
BECN1
BEST1
BGN
BHLHB9
BHLHE23
BHLHE40
BHMG1
BID
BIN1
BIN2
BIRC3
BLM
BLMH
BLNK
BLOC1S3
BLVRA
BMI1
BMP1
BMP4
BMP6
BMPER
BMS1
BNC1
BNIP3
BPIFA2
BPTF
BRAP
BRCA1
BRCA2
BRD2
BRD3
BRD4
BRI3
BRS3
BRSK1
BRSK2
BSG
BST1
BTK
BTNL2
BZRAP1
BZW2
C10ORF105
C10ORF71
C1D
C1ORF106
C1ORF228
C1ORF52
C1QA
C1QBP
C1QL1
C1R
C2
C20ORF203
C21ORF2
C3
C3AR1
C3ORF67
C4A
C4B
C4BPA
C4B_2
C5
C5AR1
C9
C9ORF156
C9ORF72
CA2
CACNA1C
